###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
35029	18.65116	0.24893	19.14618	0.25221	18.60797	0.24864	18.90698	0.25063	7.84053	0.16139	1043	9.5	3.31	06
35329	19.30333	0.25366	19.63000	0.25580	19.05333	0.25201	19.38333	0.25419	8.08000	0.16411	1043	9.4	3.31	09
35630	19.21595	0.25267	20.07641	0.25826	19.20930	0.25262	19.79734	0.25646	8.27907	0.16585	1043	9.4	3.305	08
35931	18.94020	0.25085	19.37874	0.25373	18.98007	0.25111	18.79070	0.24986	7.80731	0.16105	1043	9.4	3.3	08
36232	18.65781	0.24897	19.17276	0.25238	18.97674	0.25109	19.00332	0.25126	7.61462	0.15905	1044	9.5	3.3	09
36533	18.50831	0.24797	19.08970	0.25184	18.40864	0.24730	18.61462	0.24868	7.55150	0.15839	1043	9.6	3.305	10
36834	18.97342	0.25107	19.57807	0.25504	18.74751	0.24957	19.13953	0.25216	7.92691	0.16228	1044	9.5	3.31	05
37135	18.56811	0.24837	19.15615	0.25227	18.36877	0.24703	18.56478	0.24835	7.59136	0.15881	1044	9.6	3.296	07
37435	18.47333	0.24815	19.04000	0.25193	18.39667	0.24763	18.53000	0.24853	7.56333	0.15878	1044	9.4	3.31	06
37736	19.14286	0.25219	19.40864	0.25393	18.99003	0.25118	19.18605	0.25247	7.72425	0.16019	1044	9.5	3.31	07
38037	19.24252	0.25284	19.63123	0.25538	19.23256	0.25278	19.21927	0.25269	8.03322	0.16337	1044	9.4	3.31	08
38338	18.61130	0.24866	19.29900	0.25321	18.75083	0.24959	18.98007	0.25111	7.67442	0.15968	1044	9.5	3.31	07
38639	18.37542	0.24708	19.11960	0.25203	18.69435	0.24921	18.72093	0.24939	7.61130	0.15902	1044	9.5	3.305	08
38940	18.71096	0.24932	19.45847	0.25426	18.77076	0.24972	18.87375	0.25041	7.74086	0.16037	1044	9.5	3.31	08
